accelaration accelaration accelaration
-0.114070 -0.353261 0.128715
-0.118546 -0.350446 0.135203
-0.122961 -0.347509 0.141664
-0.127313 -0.344453 0.148095
-0.131599 -0.341279 0.154496
-0.135816 -0.337988 0.160866
-0.139963 -0.334582 0.167202
-0.144037 -0.331062 0.173503
-0.148035 -0.327430 0.179769
-0.151956 -0.323687 0.185997
-0.155797 -0.319836 0.192186
-0.159556 -0.315878 0.198336
-0.163231 -0.311815 0.204445
-0.166819 -0.307648 0.210510
-0.170319 -0.303380 0.216532
-0.173729 -0.299013 0.222509
-0.177047 -0.294549 0.228439
-0.180270 -0.289989 0.234322
-0.183397 -0.285336 0.240155
-0.186426 -0.280592 0.245938
-0.189355 -0.275759 0.251670
-0.192182 -0.270840 0.257348
-0.194906 -0.265836 0.262973
-0.197525 -0.260750 0.268542
-0.200038 -0.255584 0.274055
-0.202442 -0.250341 0.279511
-0.204736 -0.245023 0.284907
-0.206920 -0.239632 0.290244
